"","cvaR","cnm","cM","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33"
"51",0.5,1000,400,0.00675718042451541,0.000683420036258122,6.88324175157019e-05,0.000101552114203894,0.000103755308644579,6.66240989582447e-05,6.65225420338973e-05,6.65382296579477e-05,0.000719910622822688,0.000131604004743,7.50210684139479e-05,0.00279512368123738,5.84254315782508e-05,1.01174648587458e-05,2.26466395651682e-05,2.22594464460608e-05,9.72189598593784e-06,9.72875373626163e-06,9.71969761774204e-06,0.00031004225373824,5.0638758626882e-05,1.56058456574641e-05,0.00673009192762285,0.000656010268921568,4.1367394574531e-05,7.40694670976701e-05,7.62705826357786e-05,3.91595358577394e-05,3.90580015878131e-05,3.90737263474456e-05,0.000692435696489904,0.000104169472013058,4.75383487964666e-05,0.00279635225064595,5.84928745090032e-05,1.01181839749161e-05,2.26596050395864e-05,2.22736387732746e-05,9.72775118356856e-06,9.73523476930585e-06,9.72639457991223e-06,0.000310256365634549,5.07137237734296e-05,1.55728055338409e-05
"52",0.5,1000,500,0.00725449983377444,0.000685602835318634,5.92375292821503e-05,8.92999780500703e-05,9.16153049639296e-05,5.82207690627229e-05,5.81647504523945e-05,5.81844963873465e-05,0.000644676472729823,0.000111555422268508,6.70027138099476e-05,0.00364334295046598,4.86563752027281e-05,7.18531196850921e-06,1.93785910179964e-05,2.00068243516013e-05,6.95803107589019e-06,6.89777879733926e-06,6.92098264375735e-06,0.000260101927333373,4.68214927737603e-05,1.44846833154129e-05,0.00722756124390382,0.000658160764098178,3.17662899923885e-05,6.18359588856566e-05,6.41524742469344e-05,3.07492890562698e-05,3.06926157897181e-05,3.07125458739729e-05,0.00061732644705884,8.40932035732681e-05,3.95409082780468e-05,0.00364622629424524,4.86679677136175e-05,7.16823240659822e-06,1.9400945389706e-05,2.00316173907046e-05,6.94755910933525e-06,6.8866655789471e-06,6.91021579249783e-06,0.000260263170971794,4.68911040637193e-05,1.44978111989455e-05
"53",0.5,1000,600,0.00742239694467894,0.000681966739592328,5.39767223776907e-05,8.06249103400661e-05,8.24891960734852e-05,5.30568898718604e-05,5.30934238327527e-05,5.30759553111972e-05,0.000695278921848905,0.00011525821194354,6.26481935612489e-05,0.00338974102816271,4.33147906465674e-05,6.07145861722963e-06,1.81347094391375e-05,1.87400242494073e-05,5.96009767586814e-06,5.93920442832855e-06,5.94149364996653e-06,0.000317746326680314,4.53263479811733e-05,1.39183439455757e-05,0.00739743546776282,0.00065469529133539,2.65090587768195e-05,5.31537704752717e-05,5.50201901436789e-05,2.55893938160879e-05,2.56262891562341e-05,2.56086937473366e-05,0.000667677065567121,8.78037183758884e-05,3.51680522601224e-05,0.00339409421758655,4.32799134987899e-05,6.05347501384944e-06,1.81155141934782e-05,1.87187275957647e-05,5.9473481750198e-06,5.92687026608753e-06,5.9290324332241e-06,0.000317478603232352,4.53121494001496e-05,1.39060962189694e-05
"54",0.5,1000,700,0.0073070424191798,0.000678967634306607,5.01820527078401e-05,7.36658244407335e-05,7.53877914483711e-05,4.95000621823805e-05,4.95072177426384e-05,4.95022225518239e-05,0.000700750484423005,0.000116064108579349,5.80726589352529e-05,0.00280753121785635,3.93929233416987e-05,5.13819684529799e-06,1.57060362373431e-05,1.62640699832882e-05,5.02246304198552e-06,5.07252396145713e-06,5.0648751846079e-06,0.000395462193417969,6.27447534769974e-05,1.40702567427648e-05,0.00727764150292448,0.000651633813070471,2.27170590511062e-05,4.61931679639757e-05,4.79166525820512e-05,2.2034416464818e-05,2.20419215676014e-05,2.20367815101592e-05,0.000673317997018252,8.85991658725002e-05,3.06062494159326e-05,0.00280501342971426,3.92908034266383e-05,5.14049255125517e-06,1.56868042677797e-05,1.62475975542796e-05,5.02297243417039e-06,5.07282089860691e-06,5.06505016934509e-06,0.000395472465809233,6.28539950251853e-05,1.40456350813644e-05
"55",0.5,1000,800,0.00728613957511669,0.000679280995861435,4.7349278012641e-05,6.82017852701699e-05,7.02238875439401e-05,4.68528210957816e-05,4.68370312095869e-05,4.68391110770096e-05,0.000690990720186891,0.000113096207122665,5.53185944164802e-05,0.00366905832931536,4.18809033024343e-05,4.85907714129738e-06,1.48919386263742e-05,1.54528105505182e-05,4.81695224682801e-06,4.83171639579457e-06,4.82956784685649e-06,0.000290420950336326,4.51275103105137e-05,8.71150445240411e-06,0.00725973155027966,0.00065197906593332,1.98875980065433e-05,4.07328685187367e-05,4.27575489132264e-05,1.93913349034278e-05,1.93757209116132e-05,1.93778006384245e-05,0.000663665912215331,8.56363933889379e-05,2.78633744286714e-05,0.00367175117687734,4.18498602712004e-05,4.86664653975213e-06,1.48812057900847e-05,1.54451927471587e-05,4.82510977611874e-06,4.83936388139212e-06,4.83712454790836e-06,0.000290735941773193,4.51208723058397e-05,8.72299292176824e-06
"56",0.5,1000,900,0.00676518684258527,0.000677808144157386,4.52218956133978e-05,6.32930670227976e-05,6.52238988506072e-05,4.48460873836375e-05,4.48004362928759e-05,4.48034252460429e-05,0.000611938621634433,9.94913740795014e-05,5.11181100469927e-05,0.00313316347764652,3.96370484187741e-05,4.24878444427401e-06,1.31225871278382e-05,1.34768549092775e-05,4.28114861282788e-06,4.23728366273151e-06,4.24576210102514e-06,0.000240647777119342,4.14655942236768e-05,7.68171956711801e-06,0.00673805020451591,0.000650519055254628,1.77606032386269e-05,3.5826627169103e-05,3.77586692960343e-05,1.73849815739037e-05,1.73389078876547e-05,1.73419888630526e-05,0.000584495263699693,7.20337285720822e-05,2.3657231269078e-05,0.00313376722974642,3.96589627626926e-05,4.2567944246443e-06,1.3101033466586e-05,1.34536883260331e-05,4.28787474709688e-06,4.24309720105398e-06,4.251808571219e-06,0.000240691957670015,4.1486652402215e-05,7.69776480409306e-06
"57",0.5,1000,1000,0.00706623319377697,0.000675767594093424,4.32471739829536e-05,5.93922335720013e-05,6.15147706184928e-05,4.30202258212569e-05,4.29947980630042e-05,4.29949513955212e-05,0.000627927589610746,9.96399680872443e-05,5.15181063159139e-05,0.00357372383381111,3.60039389721461e-05,4.12022365538029e-06,1.09632653301118e-05,1.1306683260751e-05,4.10571048178315e-06,4.08899982694189e-06,4.09181878063371e-06,0.000278777443166342,4.58157171476887e-05,1.35500270278217e-05,0.00704121103068424,0.000648581615848763,1.57859165389477e-05,3.19257141679355e-05,3.40501247701107e-05,1.55592113165714e-05,1.55339560025819e-05,1.55340726319538e-05,0.000600551455809399,7.21959968212612e-05,2.40525272512321e-05,0.00357451641039181,3.59931104177289e-05,4.12628177837222e-06,1.09404656712988e-05,1.1287021400254e-05,4.11249716245207e-06,4.09621611136926e-06,4.09878210605236e-06,0.000278923149787918,4.58807880961771e-05,1.35694923838404e-05
"58",1,50,10,0.407940860564306,0.0498848293500351,0.0210674643193055,0.0236011298048641,0.0235628769775263,1.88467791949418,589.933484056168,333686.229924554,94.0850815494229,31482.4020855946,17657707.1903493,0.508149990152404,0.0223402242565518,0.0103691338160521,0.0109875850194345,0.0109634434618532,4.31495106278919,2917.3688687203,2076295.66782709,187.99288541628,122941.996744703,88199969.4767054,0.411443131060165,0.0498122768677785,0.0209285711711786,0.0235363667795699,0.0235019102644455,1.89537204263669,581.08919204422,323115.010813193,94.3690789957245,30956.0207874611,17087336.3479467,0.519199876644036,0.0216533366341422,0.00994342388343842,0.0104924325432487,0.0104767861457177,4.31059930845132,2779.21915460557,1949652.36091594,184.439876292672,116817.948192888,83000492.1760348
"59",1,50,20,0.494272365238693,0.028435867977501,0.0124953817446117,0.0136827325184703,0.0136765423631459,0.724252499486317,118.927197799679,33951.9757943986,85.190515370133,16693.9187564061,4498850.29347415,0.667356004439569,0.0105293539556172,0.004974659211118,0.00500722495609769,0.00503402162961033,0.637873548911808,228.826426864567,96492.2210655163,98.5878536809143,33466.9030230959,12846354.5966484,0.493184233856422,0.0283491966255317,0.0125061654077228,0.0136468884334108,0.013642363938913,0.721667993138374,118.738940535566,33920.4199093156,84.2864337557723,16525.3371315788,4463642.96188206,0.666554355398484,0.0102757785574751,0.00481447278801733,0.0049883856693265,0.00501494671300927,0.639390764754284,229.189466016261,96925.0881978741,97.3251327797069,33076.4303481416,12712406.6462965
"60",1,50,30,0.563252207197916,0.0206655076972481,0.00907738491989935,0.0103039207875909,0.0103160609703299,0.516613277763805,101.754036344427,36934.3555135953,97.1445579863135,21859.9813581087,7401677.4151764,0.955644627064143,0.00691434482465878,0.00420994211807526,0.00379648917773495,0.00380259534433424,0.676460275798154,257.000480583408,138446.611810015,124.618012069626,50496.6864376405,24713120.2862955,0.561472886458968,0.0206897125577416,0.00905047716066676,0.0102578590385991,0.0102686697274279,0.515648848139791,100.62264291402,36128.8064534785,97.6534254970974,22056.2709402331,7505512.70338462,0.935658818842832,0.00676817856408827,0.00425610620645174,0.00370838499962892,0.00371590271293354,0.677012033683177,249.355434360064,132041.805108996,126.813219214497,51566.0013727504,25377426.6239723
"61",1,50,40,0.529818481995165,0.0166709558333462,0.00692066896252539,0.0079460562799279,0.00794964499225594,0.326511977924303,45.3181864696018,11677.4051080467,102.255008989523,25253.0665546257,9067881.14236517,0.819119213895303,0.00503910946232243,0.0028131281463172,0.00279622984508493,0.00278662045921307,0.299530550272134,73.3547092822783,29149.6344658193,200.776065229846,81457.2051407003,35876604.4824091,0.528995889321161,0.0166888667699639,0.00687442255854985,0.00791653892799077,0.00792021792073393,0.324725188917386,45.0218157957425,11643.5542850853,100.329372823731,24681.4817937712,8866431.97491145,0.819103239670165,0.00508608117254339,0.00275123301088905,0.00279254329320586,0.00278384340357085,0.291842218295751,72.6976891277734,29684.0945276647,194.326953077259,79118.3647028898,34984924.5857471
"62",1,50,50,0.515465567434921,0.013960839012104,0.00565494708182339,0.00672466413150909,0.0067239466778803,0.292076746854986,77.4874855185032,62641.8267904482,185.544355385637,130617.506587454,153890475.747607,0.760418906338448,0.00420400654522718,0.00217085193176847,0.00231623070634241,0.00229945556583841,0.282463430593679,326.020996114132,456381.662735215,721.691097943674,1013752.9943067,1427662270.18328,0.516643148578525,0.0139594602173458,0.00564230212301547,0.00670280987733106,0.0067026202130634,0.289813768620221,74.4231814313406,58354.4182114188,178.20786584841,120972.346259075,140551275.643006,0.765516462870277,0.00428542516230668,0.0021454229281436,0.00230715988964699,0.00229148622983827,0.266269329914542,297.303695211311,415023.027764258,657.217242695527,920208.076585579,1295722833.58346
"63",1,50,60,0.498850431905933,0.0123180200045042,0.00504293447040196,0.00611507168543072,0.00611004833702976,0.305123161393848,72.290622881108,43525.7834188529,153.965925578695,69901.1002553322,59949425.5548291,0.664522530433633,0.0037321081903945,0.00209900604937681,0.00217373832454418,0.00217625076434079,0.331507589762704,190.216195290665,223088.836696444,404.103177427131,415452.846635863,470818522.696147,0.496915089755065,0.0123087552135391,0.0050350574432773,0.00609269654244101,0.00608806971518858,0.303440024747784,72.0967483878426,43454.854148898,153.883972845833,69319.7056624681,59184581.9598977,0.664828112619758,0.00371555682238779,0.00212942179861785,0.0021680589154328,0.00217103470538315,0.329833881941809,189.93789926543,223169.766194978,398.698247105118,408170.652854646,462359986.846058
"64",1,50,70,0.49725635692353,0.0112751362367846,0.00455706204535284,0.00548096161059774,0.00547804657006557,0.241769062994652,38.2884744648815,10817.5493591008,125.559458329185,49863.6345985631,34689980.8118165,0.709222167579291,0.00342720041442529,0.00185288990180509,0.00190192252249662,0.00189437559051356,0.238970904045406,66.2967142961823,27515.3082136437,316.248788488785,276307.133475095,268648258.384539,0.499261237087084,0.0112708547135312,0.00454116825835366,0.00545395562919489,0.00545143193298595,0.241978670849709,38.2725164411732,10813.3812063227,125.574366637516,50240.2431049531,35193566.3668639,0.713546134591552,0.0034149926986128,0.00186946046332551,0.00191787795438145,0.00190959642432955,0.241296923416741,66.6470915561458,27537.2869665362,319.519871553558,281977.609957995,274823241.823934
"65",1,50,80,0.541356915350617,0.0103262496701203,0.00408724855941686,0.00492399399414856,0.00492450822955122,0.18650983364242,70.438349368875,82935.4583283688,116.333437898697,31813.3794122688,16376875.7046622,0.778402633367672,0.00327452858216284,0.0016478421810004,0.00173221584064925,0.00173524093503251,0.285774962710745,446.132177460116,746116.040435046,171.817483625602,89899.5436830072,77493303.9316285,0.542322099157447,0.0103038653262117,0.00405650863489857,0.00490337782175755,0.00490409492499024,0.18632566516493,70.271577151614,82559.1026896791,117.102496130483,32120.7890569263,16530213.330706,0.779362719082752,0.00322694243167944,0.00164311727965246,0.00174718278560081,0.00175002775553875,0.284311868398187,444.444634123449,742482.09099548,175.094137120964,91520.0096549827,78225519.1539345
"66",1,50,90,0.464780589361663,0.00952669481800228,0.00376997775322897,0.00453817271754525,0.00453658327549536,0.183349002553367,31.5718737771596,9983.01199929316,96.4241220638265,22955.9163658145,8841504.76329852,0.741003902617804,0.00286281867041804,0.00148841499350356,0.00140057358597258,0.00139702238705178,0.177904091521122,57.800711203343,30905.5542146526,127.079528098124,45282.5660750209,27020081.5002057,0.463078942909453,0.00951294075891832,0.00374986124649268,0.0045159300507755,0.00451503556915111,0.18221005863351,31.4294010499787,9945.33858381196,96.0901179001567,22951.9434185453,8904433.29941959,0.742450509926526,0.00284740694100883,0.00149716064506131,0.00140429639760813,0.00140138388446801,0.175779460454762,57.3709244165946,30650.4714739693,126.336385519614,45461.663612289,27597543.0772396
"67",1,50,100,0.542779240459253,0.00886260201644665,0.00341907744399077,0.00418357409118774,0.00417736369706787,0.161035143264816,30.2684434278156,9756.5000015896,118.56241623895,25980.8929793713,8132011.04308567,0.795068810777923,0.00240928201561556,0.00128830255350241,0.00129702668206876,0.00129051484499831,0.165834727379992,64.3286281202675,30590.979965043,117.792808758845,39081.3943467375,17168429.7658583,0.538913392848492,0.00885750898628707,0.00339831238272194,0.00416017501887883,0.00415433272771853,0.160703706194636,30.2707925124435,9784.32434272251,118.43282330967,26015.3890398048,8171109.18396286,0.786437887176271,0.00238225928620329,0.00129398206872923,0.00129725382250747,0.00129016663881009,0.1643856896204,64.2249395695641,30646.5240044252,117.497477626646,39260.880751101,17369293.2451739
"68",1,50,200,0.473449769172304,0.00617189142444905,0.00198314189838516,0.00258572569006598,0.00257589345823274,0.0714632463617191,12.8123378756747,5696.46840766123,101.286308894687,24225.7906581086,11727657.9762936,0.767320966558636,0.00147396250510729,0.000704513419749519,0.0006542356654729,0.000652777209533496,0.053651833334927,25.4295525736406,25841.4381666723,109.123192809748,58955.7742216228,63961095.1393381,0.473975194377039,0.00613499644966432,0.00195947456619179,0.00255661402329241,0.002546690188162,0.0712751084031491,12.7558865953687,5660.3218466073,101.04064521211,24156.6392048148,11682836.6187722,0.764658188837513,0.00146853378266354,0.000707287934676762,0.000658042852091345,0.000656388418297487,0.0533288598329057,25.2188860531625,25658.4703232961,108.466966622554,58625.4639480814,63649021.9625084
