"","cvaR","cnm","cM","partial-data","equal-weight","full-data.AIC","optimal-weight.solnp","optimal-weight.osqp","CSL-ave-a31","CSL-ave-a32","CSL-ave-a33","CSL-cen-a31","CSL-cen-a32","CSL-cen-a33"
"24",1,10000,150,0.00540456104288263,0.00377937381342739,0.00377661224965179,0.0037766070236326,0.00377660714244648,0.00377661279449198,0.00377661222969469,0.0037766122509888,0.00377912981789623,0.00377662048002464,0.00377661253054287
"25",123,50,10,0.356644247049349,0.041687664246608,0.0339099579770173,0.0333115718575539,0.0333000245728356,0.0529989870228102,0.110054856453989,0.750956171446382,0.889962793744267,5.50825147218808,51.6614393508458
"26",123,50,100,0.281826580503376,0.0174559669473839,0.0067084684129051,0.00679706211656329,0.00679107107023769,0.00854071370174181,0.0203733135872419,0.215771729423277,1.41321430646834,16.1623083406859,274.900462848666
"27",123,50,150,0.378473428388083,0.0168272057805476,0.00571426387384594,0.00576583438979873,0.00576268453502517,0.00707220288406795,0.0146937104627099,0.106229105623519,1.38756615954486,14.4035755222101,230.188828094772
"28",123,100,10,0.163763142643087,0.0254216669248512,0.0199780767374874,0.0215236814603649,0.0215174613121576,0.0199186260702509,0.0198438338621292,0.020236361480461,0.0841273731310659,0.101643787994149,0.163235114849841
"29",123,100,100,0.169053678678002,0.0135231629941496,0.00530086290716269,0.00565686221687233,0.00565798829617555,0.00542715030302935,0.00545652639224714,0.00549831400694953,0.0877492771355696,0.128622757099638,0.282816900151253
"30",123,100,150,0.156362275186141,0.0130570427996673,0.00474771308511167,0.00486774520725381,0.00486473631324261,0.00481150861432216,0.00487959016350035,0.00490172231337314,0.0816986710079935,0.131854625618606,0.340630338836996
"31",123,1000,10,0.0271904092877448,0.00650780660447646,0.00534496548646791,0.00585969935023892,0.00583757362504401,0.00540773385809112,0.00540911277619443,0.00540894758243855,0.00564472528073239,0.00541879428833944,0.00540939803418037
"32",123,1000,100,0.0269081700157571,0.00487474235786313,0.00390941872712569,0.00392034819988557,0.00391977436242272,0.00392271689541392,0.00392274104616946,0.00392271958505926,0.00419076613729605,0.00393409523721547,0.003923464866576
"33",123,1000,150,0.0277842127845185,0.00482447256426726,0.00385854272633814,0.00386722768085008,0.0038667016993009,0.00386839542157547,0.00386827234779882,0.00386830881943141,0.00414254250320293,0.00387804624424772,0.00386957075373184
"34",123,10000,10,0.00619242895308935,0.00394917790565183,0.00392196848018959,0.00393609671977731,0.00393619564992818,0.00393886451538146,0.00393884684740416,0.00393884668084545,0.00394007290371606,0.00393881770159372,0.00393884406826543
"35",123,10000,100,0.00607887447455229,0.00378381937564176,0.00377918582992109,0.00378019848743446,0.00378015524902122,0.00378047400153457,0.00378047254279155,0.00378047249264599,0.00378299409198456,0.00378047331967406,0.00378047251022411
"36",123,10000,150,0.00627714913461986,0.00377970313714003,0.00377566922779515,0.0037765215972844,0.00377650704401993,0.00377666278963611,0.00377666235604353,0.00377666238525882,0.00377916997922109,0.00377666962795984,0.00377666265198744
